classification,reason_for_recall,product_description,recall_number
Class I,"Labeling: Label Mix-Up; Bottles of Mucinex Fast-Max liquid are correctly labeled on the front of the label, however the back of the bottle where the Drug Facts labeling is, is missing certain Active Ingredients such as acetaminophen, phenylephrine, dextromethorphan, diphenhydramine, and/or guaifenesin. As a result certain safety warnings associated with those ingredients may also be missing.","Mucinex Fast Max Cold, Flu & Sore Throat, Maximum Strength, Acetaminophen Pain Reliever/Fever Reducer, Dextromethorphan HBr Cough Suppressant, Guaifenesin Expectorant, Phenylephrine HCl Nasal Decongestant, 6 fl oz (180 mL) Bottle, For Ages 12+, , Dist. By: Reckitt Benckiser Parsippany, NJ 07054-0224 Made in India, NDC 63824-015-66, UPC 63824-01565-1",D-1363-2015
Class I,Presence of Particulate Matter,"CARBOplatin Injection 450 mg/45 mL (10 mg/mL), 45 mL packaged in a 100 mL Multi-Dose Vial, Rx only, Manufactured for: Mylan Institutional LLC, Rockford, IL  61103, Made in India, NDC 67457-493-46, UPC 3 67457 49346 6.",D-1331-2015
Class I,Non Sterility: Microbial contamination,"CALCIUM GLUCONATE 2 gm (PF) PRESERVATIVE FREE in 100 mL Sodium Chloride 0.9% for Injection, Rx Only Manufactured by Specialty Compounding, 211 S. Bell Blvd, Cedar Park, TX 78613",D-0230-2015
Class I,Cross Contamination; Lamotrigine Tablets 100 mg USP was contaminated with enalapril maleate.,"Lamotrigine Tablets, USP, 100 mg, Rx Only, 100-count bottle,  Mfd. by: Taro Pharmaceutical Industries Ltd. Haifa Bay, Israel 2624761 Dist. by: Taro Pharmaceuticals U.S.A., Inc. Hawthorne, NY 10532, NDC 51672-4131-1.",D-0833-2020
Class I,"Marketed Without An Approved NDA/ANDA: Product was found to contain undeclared sildenafil, making AMPD GOLD an unapproved drug.","AMPD GOLD Bee Pollen capsules, 350 mg, 60-count bottle, Signature, 1027 Highway 70 W, Suite 227, Garner, NC 27529, UPC 8 52175 00418 1.",D-0979-2015
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic No Sweat Anti-Perspirant, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955508526, NDC 57955-5085-2",D-0602-2019
Class I,Labeling: Label Mix up; product labeled did not indicated Extended Release,"metFORMIN ER Tablets, 500 mg, Rx, Packaged and labeled as metFORMIN Immediate Release (IR), Repackaged By: Shamrock Medical Solutions Lewis Center, Ohio, Mfr: Amneal/Interpharm, Hauppauge, NY  NDC 53746-178-01",D-1448-2014
Class I,"Product Mix-Up: Customer complaint that their carton labeled as Fentanyl Transdermal Systems, 12 mcg/h contained five patches labeled and containing 50 mcg/h.","FENTANYL Transdermal System, 12 mcg/h, five (12 mcg/h) systems per carton, Rx only, Distributed by: Alvogen, Inc., Pine Brook, NJ  07058; Manufactured by: 3M Drug Delivery Systems, St. Paul, MN  55107, NDC 47781-423-47.",D-1277-2019
Class I,Labeling: Label Error on Declared Strength; Some cartons were incorrectly labeled. The blister strips inside the product carton reflect the correct strength.,"Clonazepam Orally Disintegrating Tablets, USP, 0.125 mg, C-IV, Rx Only, 60 tablets per carton (10 blister cards containing 6 tablets each), Distributed by: PAR Pharmaceutical, Chestnut Ridge, NY 10977, NDC#: 49884-306-02 (carton), NDC #: 49884-306-52 (blisters).",D-0179-2025
Class I,Chemical contamination; presence of benzene,"Coppertone SPORT MINERAL 50 Sunscreen Spray (To Deliver) Zinc Oxide 24.08%, NET WT 5 OZ (142 g) can, Beiersdorf Inc., Wilton, CT 06897  UPC 0 72140 02870 1",D-0013-2022
Class I,Microbial contamination,"Dr. King's SafeCare Rx M3 Metabolic Mineral Modulator, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955027621, NDC 57955-0277-2",D-0718-2019
Class I,"Presence of Particulate Matter: The firm produced products using 0.9% Sodium Chloride Injection, USP or 5% Dextrose Injection, USP which were subsequently recalled by the manufacturer due to the presence of particulate matter.","HEPARIN Sodium Injection USP, 12,500 USP Units added to 250 mL 5% Dextrose Injection USP (50 units per mL), packaged in 250 mL bags, Rx only, PharMEDium Services, LLC, 12620 W. Airport Blvd #130, Sugar Land, TX  77478, Service Code 2K0418, NDC# 61553-418-02.",D-1355-2015
Class I,"Marketed without approved NDA/ANDA- Laboratory analysis found product to be tainted with undeclared ingredients: Dexamethasone, Diclofenac and Omeprazole.","UNAVY ACIDO HIALURONICO, Conenido: 30 capletas de 850mg, distribuido por: EREN NATURAL S.A. DE C.V, Zappan, Jal. C.P, UPC 7 503046 054295",D-0492-2025
Class I,Microbial contamination,"Dr. King's SafeCare Rx Yeast Freee..., 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955007623, NDC 57955-0102-2",D-0765-2019
Class I,"Presence of Particulate Matter: Confirmed customer complaint of particulate matter, identified as a human hair, visible in the injection port and primary container.","Aminosyn II, 10%, Sulfite-Free Amino Acid Injection, 500 mL container, Rx only, Hospira, Inc., Lake Forest, IL  60045, NDC 0409-4164-03, UPC (01) 0 030409 416403 8.",D-461-2014
Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Rose Medical Center (CO) Neonate D5 Bridge, Trophamine 3% Dextrose 5%, Additives: heparin PF 0.5 unit(s)/ml, compound vol: 350 ml, sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",D-440-2015
Class I,Marketed Without an Approved NDA/ANDA: FDA sampling confirmed the presence of Salicylic acid  in dietary supplements.,"Thin and Slim MaxOut Body Max Out FX Fat Burner with Ephedra packaged in containers of 60 capsules.  Distributed by Teamtrade, Inc., Ft. Lauderdale, FL. 1-866-MaxOut www.MaxOutBODY.com.",D-0963-2016
Class I,Microbial contamination,"Dr. King's SafeCare Rx Birth Ease, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955000228, NDC 57955-0002-2",D-0876-2019
Class I,Presence of Particulate Matter: Customer complaint stating that one vial contained a glass shard.,"CUBICIN (daptomycin for injection), 500 mg single-use vial, Rx only, Manufactured for: Cubist Pharmaceuticals, Inc., Lexington, MA  02421, NDC 67919-011-01, UPC 3 67919-011-01 6.",D-1382-2014
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic ShinglePlex, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 35795551829, NDC 57955-5518-2",D-0599-2019
Class I,"Presence of Particulate Matter; Hospira has identified the particulate as a human hair, sealed in the bag at the additive port area.","0.9% Sodium Chloride Injection, USP, 250 mL, Rx Only, Hospira Inc., Lake Forest, IL, 60045, USA, NDC 0409-7983-02",D-0969-2015
Class I,"Failed Dissolution Specifications: Drug release test result, obtained during routine 9-month stability testing, which was below specification for one tablet. Teva cannot at this time exclude the potential for additional tablets to be below specification.","Paliperidone Extended-Release Tablets, 3 mg, 90 count bottles, Rx only, Manufactured by: Actavis Laboratories FL, Inc., Fort Lauderdale, FL 33314 USA  Distributed by: Actavis Pharma, Inc., Parsippany, NJ 07054, USA, NDC: 0591-3693-19",D-0960-2017
Class I,Non-Sterility,"Velocity Pharma brand Lubricating Eye Drop (Propylene glycol Eye Drops 0.6%), packaged in 3 bottles of 0.33 FL OZ (10 mL) each, Velocity Pharma, NDC 76168-502-30",D-0302-2024
Class I,"Chemical Contamination: FDA analysis found 1 lot of   HAND SANITIZER Isopropyl Alcohol Antiseptic 75%, to contain methanol.","HAND SANITIZER Isopropyl Alcohol Antiseptic 75%, Net contents: 1 U.S. Gallon/3.785 Liters  Tennessee Technical Coatings Corporation, 1421 Higgs Road (P.O. Box 1698) Lewisburg, TX 37091, NDC 76921-000-01",D-0739-2022
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Ear Ringing, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955527527, NDC 57955-5275-2",D-0636-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Constitutional Enhancer Constitution, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955014928, NDC 57955-0149-2",D-0754-2019
Class I,Presence of Particulate Matter; identified as glass,"4.2% Sodium Bicarbonate Injection, USP 5 mEq/10 mL (0.5 mEq/mL), Glass ABBOJECT Unit of Use Syringe, For Intravenous Use, Rx Only, 10 mL Syringe per Carton, Hospira, Inc., Lake Forst, IL 60045, NDC 0409-5534-24 (carton), 0409-5534-14 (case).",D-0233-2024
Class I,Labeling Not Elsewhere Classified: Hand sanitizer packaged in containers resembling drinking water bottles.,"heal the world, moisturizing original hand sanitizer, Non-Sterile Solution, Alcohol Antiseptic, 70% Topical Solution, 9.6 FL OZ. (285 mL) bottle, Heal The World, LLC, Draper, UT 84020, UPC 6 19988 44038 0.",D-0365-2021
Class I,Labeling: Missing label on the vial,"Insulin Glargine (insulin glargine-yfgn) Injection, 100 units/mL (U-100), packaged in a 10 mL Multiple-Dose vial inside a carton, Rx only, Manufactured by: Mylan Pharmaceuticals Inc., Morgantown, WV 26505, Manufactured for: Mylan Specialty L.P., Morgantown, WV 26505, NDC 49502-393-80",D-0845-2022
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Muscle Maximizer, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955513322, NDC 57955-5133-2",D-0574-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic 9-1-1 Burnout, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955597926, NDC 57955-5979-2",D-0552-2019
Class I,"Marketed Without An Approved NDA/ANDA: product found to be tainted with sildenafil, an FDA approved drug for the treatment of male erectile dysfunction, making this an unapproved drug fro which the safety and efficacy have not been established and therefore subject to recall.","Red-E Tablet, Proprietary Blend 3000 mg**, packaged in 1-count plastic bag stapled with cardboard labeling.",D-1595-2020
Class I,Non-Sterility,"HYDROMORPHONE HCL-BUPIVACAINE HCL-CLONIDINE HCL PF INJECTABLE 21 mL syringes in two strengths:  a) 20MG-20MG-60MCG/ML INJECTABLE, b) 5MG-5MG-100MCG/ML, Rx only,   Med Shop Total Care 470 East Loop 281 Longview, TX 75605",D-0709-2021
Class I,"Labeling: Not eslewhere classified - The kits include Sodium Chloride, USP, 0.9% which was recalled by the manufacturer due to the product insert incorrectly stating stoppers do not contain latex. The stoppers contain natural rubber latex","Dyural-40 Injection Kit, 1 Dose, Single Use Only, Rx only, Distributed by Enovachem Pharmaceuticals, Torrance, CA 90501, NDC 76420-0750-01",D-0353-2019
Class I,Microbial contamination,"NET Remedies #5 Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",D-0921-2019
Class I,"Marketed Without an Approved NDA/ANDA: Nova Products, Inc. of Aston, Pennsylvania is voluntarily recalling AFRICAN BLACK ANT because FDA laboratory analysis determined they contain undeclared amounts of sildenafil an active ingredient of FDA-approved drugs used to  treat erectile dysfunction.","AFRICAN BLACK ANT, 2800 mg, 6 capsules per box,    produced by: Qinghan Hongwei Bioengineering Company, No. 158, Renmin Road, Xining City.",D-1596-2014
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic AddictaPlex, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955508328, NDC 57955-5083-2",D-0652-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx ScarCure, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955008729, NDC 57955-0087-2",D-0728-2019
Class I,Chemical contamination: Presence of benzene,"Sure Unscented Anti-perspirant Deodorant Aerosol (Aluminum Chlorohydrate 10%), packaged in 6 oz (170 g) aerosol cans, Distributed by Idelle Labs, Ltd., El Paso, TX 79912, NDC 41595-5517-06",D-0208-2024
Class I,Microbial contamination,"Dr. King's SafeCare Rx Physical Anger, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955101024, NDC 57955-1011-2",D-0887-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Lower GI Restoration Digestion High Potency Homeopathic Formula for Professional Use Only, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside dr. Asheville, NC 28806 USA, UPC 357955032021, NDC 57955-0322-2",D-0678-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Hair & Nails Formula, 2 fl. oz. (59 mL),  King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955004929, NDC 57955-0049-2",D-0837-2019
Class I,Marketed without an approved NDA/ANDA for which safety and efficacy has not been established.,"Domperidone capsules 10 mg, compounded,  dispensed in 60, 90, and 360 count bottles, Jeffreys Drug Store 1 North Central Ave. Canonsburg, PA",D-0494-2017
Class I,"Marketed Without an Approved NDA/ANDA: Product tested positive for Sibutramine, an appetite suppressant that was withdrawn from the U.S. market in October 2010 for safety reasons, making this product an unapproved new drug.","SLIM XTREME Herbal Slimming Capsule, supplied in 30-count bottles. Another Product Forumulated and Distributed By: Globe All Wellness, LLC Hollywood, FL 33020 www.diet66.com Inquires Call 877.842.9873",D-148-2013
Class I,"Marketed Without an Approved NDA/ANDA: Bacai, Inc. DBA Ky Duyen House is voluntarily recalling Lite Fit USA, lot 13165, due to undeclared sibutramine, making it an unapproved new drug.","Lite Fit USA, For Men & Women, Extreme Fat Burner, Suppresses Appetite, Boosts Metabolism, Limits Fat Absorption, Increases Energy, Prevents lipid formation by limiting fat absorption  30 pills /Bottle, Distributed by: Bacai, INC. www.litefitusa.com",D-1534-2014
Class I,"Presence of Particulate Matter: Discolored solution due to a chip in the glass at the neck of the vial, also glass particulate was found within the solution.","DOBUTamine Injection, USP, 250 mg per 20 mL, 20 mL Single-dose Fliptop Vial, Rx only, Manufactured for Hospira Inc., Lake Forest, IL 60045 USA.  NDC 0409-2344-02",D-1540-2014
Class I,Marketed Without an Approved ANDA/NDA: presence of sildenafil.,"Man King Capsules, 2800 mg, boxes of 5 packets, OTC, Developed by:  American Wanbao Pharmaceutical International Group and Hainan Wanbao Biological Engineering Co., Ltd., 27 Heping Road, Haikou, Henan Province, UPC 9 009900 0032328",D-1699-2012
Class I,Defective Delivery System: Potential clogging of the needle preventing the dispensing of epinephrine.,"SYMJEPI (epinephrine injection, USP) 0.15 mg (0.15 mg/0.3 mL), Two Pre-Filled Single-Dose Syringes per carton, Rx Only, Manufactured for Adamis Pharmaceuticals Corp.; San Diego, CA  92130; Distributed by USWM, LLC., Louisville, KY  40241, Made in Belgium, NDC 78670-131-02.",D-0764-2022
Class I,Microbial contamination,"Dr. King's SafeCare Rx Hangover Relief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955011323, NDC 57955-0113-2",D-0877-2019
Class I,"Non-Sterility:Microbial growth detected in  sub lot of  Amikacin Sulfate Injection, USP 1gm/4 mL (250mg/mL) and Prochlorperazine Edisylate Injection, USP 10mg/2mL (5mg/mL) .","AMIKACIN SULFATE INJECTION, USP, 1 gram/4 mL (250 mg/ml), 4 mL vial, Rx only, Mfd. by: Emcure Pharmaceuticals, Ltd., Hinjawadi, Pune, India Mfd. for: Heritage Pharmaceuticals Inc.. NDC 23155-290-32",D-1398-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Advanced Arnica, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955598428, NDC 57955-5984-2",D-0557-2019
Class I,"Marketed without an Approved NDA/ANDA; product contains the steroid ingredient 2, 17a-dimethyl-17b-hydroxy-5a-androst-1-en-3-one, making it an unapproved new drug","Super-DMZ Rx 2.0 Capsules, 60 count bottles, Dietary Supplement, Lean muscle mass, hardness and strength, Manufactured for Blackstone Labs Boca Raton, FL 33433.",D-1150-2014
Class I,Presence of Particulate Matter: Presence of glass particle.,"Veklury (remdesivir) for injection, 100 mg/vial, Single-Dose Vial, Rx only, Manufactured for: Gilead Sciences, Inc., Foster City, CA 94404, NDC 61958-2901-2",D-0005-2025
